#           k/h    P           
   0.967610E+01   0.240253E-13
   0.987158E+01   0.970212E-13
   0.100710E+02   0.164793E-12
   0.102744E+02   0.520137E-13
   0.104820E+02   0.371940E-14
   0.106938E+02   0.340759E-15
   0.109098E+02   0.135751E-15
   0.111302E+02   0.110773E-15
   0.113550E+02   0.731022E-16
   0.115844E+02   0.603496E-16
   0.118184E+02   0.156009E-15
   0.120572E+02   0.856959E-15
   0.123007E+02   0.235661E-14
   0.125492E+02   0.189893E-14
   0.128027E+02   0.118837E-14
   0.130614E+02   0.116000E-14
   0.133252E+02   0.909219E-15
   0.135944E+02   0.261798E-15
   0.138691E+02   0.403236E-16
   0.141492E+02   0.795346E-17
   0.144351E+02   0.420447E-17
   0.147267E+02   0.109277E-16
   0.150242E+02   0.893384E-16
   0.153277E+02   0.247296E-15
   0.156373E+02   0.578130E-16
   0.159532E+02   0.994899E-17
   0.162755E+02   0.153963E-16
   0.166043E+02   0.891476E-16
   0.169397E+02   0.186385E-15
   0.172819E+02   0.101500E-15
   0.176310E+02   0.653778E-16
   0.179872E+02   0.809460E-16
   0.183505E+02   0.435963E-16
   0.187212E+02   0.436389E-17
   0.190994E+02   0.804584E-18
   0.194853E+02   0.342811E-17
   0.198789E+02   0.706449E-16
   0.202805E+02   0.222368E-15
   0.206902E+02   0.428229E-16
