# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#      k [h/Mpc]           P_cdm          P_vcdm           P_bar          P_vbar         P_total        P_vtotal
        0.292198     4.13627e-05     1.60285e-07     6.65806e-07       1.967e-07     1.87574e-08     7.13905e-08
        0.308269     3.51965e-05     1.41348e-07     1.82581e-07     3.26411e-08     6.17261e-09     8.30176e-08
        0.325225     3.10684e-05     2.50324e-07     2.95542e-07     1.04963e-07     1.63954e-08     2.23253e-07
        0.343113     2.64758e-05     1.69551e-07     4.32911e-08     9.49402e-09     3.23484e-09     1.31162e-07
        0.361985     2.21953e-05      7.3015e-08     1.17502e-07     3.45488e-08     4.67622e-09     3.92991e-08
        0.381894      1.9339e-05     8.85325e-08     7.83106e-10     1.02431e-09     3.97449e-11     6.53421e-08
        0.402899     1.68552e-05     9.10041e-08     2.83728e-08     7.69422e-09     1.44907e-09     7.17736e-08
         0.42506     1.43684e-05     5.19619e-08     1.27203e-08     4.04043e-09     4.89948e-10     3.31053e-08
        0.448439     1.24805e-05     5.02908e-08     4.20704e-11     8.89916e-11     1.15595e-12     3.62313e-08
        0.473104     1.08506e-05     4.58744e-08     1.91697e-09     4.58407e-10     9.31118e-11     3.37687e-08
        0.499125     9.35164e-06     3.29631e-08     1.60746e-09      4.4738e-10     6.46179e-11     2.23708e-08
        0.526578     8.14002e-06     3.11675e-08      5.2153e-10     1.69757e-10     2.10744e-11     2.27225e-08
        0.555541     7.04973e-06     2.47669e-08     8.45749e-11     3.18805e-11     3.24297e-12     1.73316e-08
        0.586097      6.1209e-06      2.1343e-08     7.21361e-12     4.03634e-12     1.04779e-13     1.52174e-08
        0.618333     5.31278e-06     1.79259e-08      6.5576e-13     7.05239e-13     7.15161e-14      1.2684e-08
        0.652343     4.61192e-06     1.51641e-08     1.63899e-13     8.11896e-14     8.24269e-15     1.07637e-08
        0.688223     4.00441e-06     1.28196e-08     3.35677e-13      2.4545e-13      5.8897e-14     9.07805e-09
        0.726077      3.4773e-06     1.08798e-08     6.20037e-15     5.73886e-16     4.15377e-15      7.7185e-09
        0.766013     3.01997e-06     9.24397e-09     1.67028e-16     4.38789e-15     1.69658e-15     6.55679e-09
        0.808145      2.6229e-06     7.86709e-09     1.16799e-14     3.79692e-14     7.24643e-14     5.58494e-09
        0.852594     2.27802e-06     6.68871e-09     6.37919e-14     8.66711e-14     2.78843e-15     4.75041e-09
